ข้อ,คำถาม,รูปปบบคำถาม,ตัวเลือกคำตอบ,เงื่อนไขเชื่อมโยง,แสดงคำถามเพิ่มตามเงื่อนไข
1,มีความสนใจจะทำงาน Part-time หรือไม่,radio,"สนใจ,ไม่สนใจ",,
2,สนใจทำงาน Part-time เพราะอะไร ,text,,1:eq:สนใจ,"แสดงเมื่อตอบข้อ 1 ว่า ""สนใจ"""
3,สนใจทำงาน Part-time ประเภทไหน,text,,1:eq:สนใจ,"แสดงเมื่อตอบข้อ 1 ว่า ""สนใจ"""
4,สถานที่ทำงานที่นักศึกษาสะดวก,radio,"ใกล้บ้าน/หอพัก,ใกล้มหาวิทยาลัย,ได้ทุกที่",1:eq:สนใจ,"แสดงเมื่อตอบข้อ 1 ว่า ""สนใจ"""
5,ผู้ที่ดูแลและรับผิดชอบค่าใช้จ่ายของนักศึกษา,radio,"รับผิดชอบตัวเอง,ผู้ปกครอง,ร่วมกันรับผิดชอบ",,
6,จำนวนเงินที่ได้รับต่อเดือน,select,"1,000-2,000 บาท/เดือน,2,001-3,000 บาท/เดือน,3,001-4,000 บาท/เดือน,4,001-5,000 บาท/เดือน,มากกว่า 5,000 บาท/เดือน",,
7,พฤติกรรมการใช้เงิน (เพียงพอหรือไม่/อย่างไร),text,,,
8,นักศึกษามีโรคประจำตัว/โรคติดต่อหรือไม่,radio,"ไม่มี,มี",,
9,โรคประจำตัวคือโรคอะไร,text,,8:eq:มี,"แสดงเมื่อตอบข้อ 8 ว่า ""มี"""
10,ยาที่ใช้ประจำคือ,text,,8:eq:มี,"แสดงเมื่อตอบข้อ 8 ว่า ""มี"""
11,นักศึกษาดื่มเหล้าหรือไม่,radio,"ไม่ดื่ม,นานๆ ครั้ง,เฉพาะงานสังสรรค์,ดื่มประจำ",,
12,นักศึกษาสูบบุหรี่หรือไม่,radio,"ไม่สูบ,นานๆ,ครั้งสูบประจำ",,
13,เสพสารเสพติดหรือไม่,radio,"ไม่เสพ,เสพ",,
14,สารเสพติดชนิดใด,text,,8:eq:เสพ,"แสดงเมื่อตอบข้อ8 ว่า ""เสพ"""
15,ชมรมที่สนใจเข้าร่วม (เลือกได้มากกว่า 1),checkbox,"01.ชมรมบัญชี,02.ชมรมศิลปวัฒนธรรมและภูมิปัญญาไทย,03.ชมรมต้นกล้าแห่งความดี,04.ชมรมมุสลิมสัมพันธ์,05.ชมรมดนตรี NBU BAND,06.ชมรมเชียร์,07.ชมรม COVER DANCE,08.ชมรม Smoke Free NBU,09.ชมรม Media-Verse,10.ชมรม Film Making Novive Club,11.ชมรมนันทนาการ (รักษ์ยิ้ม),12.ชมรมกีฬาและนันทนาการ,13.ชมรมวิทยุกระจายเสียง NBU Radio FM 97.75 MHz,14.ชมรมกีฬาจานร่อน,15.ชมรมสร้างภาพ,16.ชมรมอนุรักษ์ธรรมชาติและสิ่งแวดล้อม",,
16,นักศึกษาเคยเข้าร่วมการแข่งขันหรือได้รับรางวัล ประเภทด้านวิชาการ/กิจกรรมและนันทนาการ หรือไม่,radio,"ยังไม่เคยได้รับรางวัล,รางวัลชมเชย,เหรียญทองแดง,เหรียญเงิน,เหรียญทอง",,
17,รายละเอียด การแข่งขันหรือได้รับรางวัล,text,,16:neq:ยังไม่เคยได้รับรางวัล,"แสดงเมื่อไม่ได้ตอบข้อ 21 ว่า ""ยังไม่เคยได้รับรางวัล"""
18,นักศึกษาเคยเข้าร่วมการแข่งขันหรือได้รับรางวัลประเภท ด้านศิลปวัฒนธรรม/กีฬา หรือไม่,radio,"ยังไม่เคยได้รับรางวัล,รางวัลชมเชย,เหรียญทองแดง,เหรียญเงิน,เหรียญทอง",,
19,รายละเอียด การแข่งขันหรือได้รับรางวัล,text,,18:neq:ยังไม่เคยได้รับรางวัล,"แสดงเมื่อไม่ได้ตอบข้อ 21 ว่า ""ยังไม่เคยได้รับรางวัล"""
20,นักศึกษามีเป้าหมายในการเรียน/เป้าหมายชีวิตอย่างไร,text,,,
21,นักศึกษาเคยมีเรื่องไม่สบายใจ ผิดหวังหรือเสียใจหรือไม่,radio,"ไม่มี,มี",,
22,เรื่องอะไร,text,,21:eq:มี,"แสดงเมื่อตอบข้อ 21 ว่า ""มี"""
23,เวลานักศึกษามีเรื่องดังกล่าว นักศึกษามีวิธีการแก้ไขอย่างไร,text,,21:eq:มี,"แสดงเมื่อตอบข้อ 21 ว่า ""มี"""
24,บุคคลใดที่นักศึกษาไว้ใจและพร้อมที่จะขอคำปรึกษาหรือบอกกล่าวความในใจ,text,,21:eq:มี,"แสดงเมื่อตอบข้อ 21 ว่า ""มี"""
25,มีปัญหาสุขภาพที่เป็นอุปสรรคต่อการศึกษาในสาขาวิชาหรือไม่,radio,"ไม่มี,มี",,
26,ถ้ามีปัญหาสุขภาพ โปรดระบุ ,text,,25:eq:มี,"แสดงเมื่อตอบข้อ 8 ว่า ""มี"""
27,ความคาดหวังในหลักสูตรที่ตนเองได้เลือกศึกษาต่อ,text,,,
28,นักศึกษาเลือกเรียนในหลักสูตรที่เรียนและมหาวิทยาลัย เพราะเหตุผลใด,text,,,
29,บันทึกข้อมูลอื่นๆ เพิ่มเติม (ถ้ามี),text,,,
